AIRPORT,LATITUDE,LONGITUDE
01A,58.10944444,-152.90666667
03A,65.54805556,-161.07166667
04A,68.08333333,-163.16666667
05A,67.57000000,-148.18388889
06A,57.74527778,-152.88277778
07A,55.55472222,-133.10166667
08A,59.15694444,-151.82916667
09A,59.36277778,-153.43055556
1AK,60.81833333,-164.51888889
1B1,42.28888889,-73.71027778
1B1,42.29138889,-73.71027778
1CA,38.19333333,-121.70361111
1FL,28.61500000,-80.69444444
1FL,28.61500000,-80.69444444
1G4,35.98611111,-113.81694444
1G4,35.98611111,-113.81694444
1G4,35.99027778,-113.81638889
1G4,35.99027778,-113.81638889
1GA,33.39000000,-84.33111111
1GA,33.39000000,-84.33111111
1N7,40.97111111,-74.99750000
1NC,36.43944444,-77.70944444
1NY,42.63694444,-77.05277778
1NY,42.63694444,-77.05277778
1NY,42.63722222,-77.05277778
1OH,41.68416667,-81.38972222
1PA,39.95916667,-79.65750000
1TN,35.65638889,-88.19527778
1TX,35.85750000,-102.01333333
1VA,38.58638889,-77.71055556
1WA,47.96694444,-117.42861111
2AK,56.08861111,-134.83361111
2AK,56.22138889,-134.68666667
2CA,35.74555556,-119.23638889
2FL,26.84583333,-80.22222222
2GA,31.21305556,-84.23527778
2NC,35.65444444,-79.89472222
2NY,40.82750000,-73.71694444
2TN,35.48611111,-84.93111111
2TX,30.21972222,-96.37444444
3CA,40.08555556,-123.81416667
3GA,31.39750000,-84.89472222
3NY,40.89861111,-72.41055556
3TN,36.37166667,-82.17277778
3TX,32.57750000,-96.71750000
4CA,38.53138889,-121.78638889
4CL,34.62500000,-117.60500000
4CL,34.62555556,-117.59833333
4GA,33.91972221,-84.85277778
4NY,41.81916667,-73.64333333
4TX,29.27722222,-103.68583333
5NY,44.85361111,-74.32888889
5TX,26.44166667,-98.12222222
6B0,43.98472222,-73.09583333
6B0,43.98472222,-73.09583333
6B0,43.98555556,-73.09555556
6B0,43.98555556,-73.09555556
6B0,43.98638889,-73.09555556
6NY,41.00888889,-72.27527778
6TX,29.74555556,-99.76083333
