date,away_team,away_points,home_team,home_points
"Fri, Apr 1, 2016",Philadelphia 76ers,91,Charlotte Hornets,100
"Fri, Apr 1, 2016",Dallas Mavericks,98,Detroit Pistons,89
"Fri, Apr 1, 2016",Brooklyn Nets,91,New York Knicks,105
"Fri, Apr 1, 2016",Cleveland Cavaliers,110,Atlanta Hawks,108
"Fri, Apr 1, 2016",Toronto Raptors,99,Memphis Grizzlies,95
"Fri, Apr 1, 2016",Orlando Magic,110,Milwaukee Bucks,113
"Fri, Apr 1, 2016",Minnesota Timberwolves,85,Utah Jazz,98
"Fri, Apr 1, 2016",Miami Heat,112,Sacramento Kings,106
"Fri, Apr 1, 2016",Boston Celtics,109,Golden State Warriors,106
"Fri, Apr 1, 2016",Washington Wizards,106,Phoenix Suns,99
"Sat, Apr 2, 2016",Indiana Pacers,115,Philadelphia 76ers,102
"Sat, Apr 2, 2016",Detroit Pistons,94,Chicago Bulls,90
"Sat, Apr 2, 2016",Toronto Raptors,95,San Antonio Spurs,102
"Sat, Apr 2, 2016",Sacramento Kings,115,Denver Nuggets,106
"Sat, Apr 2, 2016",Miami Heat,93,Portland Trail Blazers,110
"Sun, Apr 3, 2016",New Orleans Pelicans,106,Brooklyn Nets,87
"Sun, Apr 3, 2016",Charlotte Hornets,103,Cleveland Cavaliers,112
"Sun, Apr 3, 2016",Oklahoma City Thunder,110,Houston Rockets,118
"Sun, Apr 3, 2016",Washington Wizards,109,Los Angeles Clippers,114
"Sun, Apr 3, 2016",Dallas Mavericks,88,Minnesota Timberwolves,78
"Sun, Apr 3, 2016",Memphis Grizzlies,107,Orlando Magic,119
"Sun, Apr 3, 2016",Utah Jazz,101,Phoenix Suns,86
"Sun, Apr 3, 2016",Chicago Bulls,102,Milwaukee Bucks,98
"Sun, Apr 3, 2016",Indiana Pacers,92,New York Knicks,87
"Sun, Apr 3, 2016",Portland Trail Blazers,111,Golden State Warriors,136
"Sun, Apr 3, 2016",Boston Celtics,107,Los Angeles Lakers,100
"Tue, Apr 5, 2016",New Orleans Pelicans,93,Philadelphia 76ers,107
"Tue, Apr 5, 2016",Charlotte Hornets,90,Toronto Raptors,96
"Tue, Apr 5, 2016",Phoenix Suns,90,Atlanta Hawks,103
"Tue, Apr 5, 2016",Chicago Bulls,92,Memphis Grizzlies,108
"Tue, Apr 5, 2016",Detroit Pistons,89,Miami Heat,107
"Tue, Apr 5, 2016",Cleveland Cavaliers,109,Milwaukee Bucks,80
"Tue, Apr 5, 2016",Oklahoma City Thunder,124,Denver Nuggets,102
"Tue, Apr 5, 2016",San Antonio Spurs,88,Utah Jazz,86
"Tue, Apr 5, 2016",Portland Trail Blazers,115,Sacramento Kings,107
"Tue, Apr 5, 2016",Minnesota Timberwolves,124,Golden State Warriors,117
"Tue, Apr 5, 2016",Los Angeles Lakers,81,Los Angeles Clippers,103
"Wed, Apr 6, 2016",Cleveland Cavaliers,109,Indiana Pacers,123
"Wed, Apr 6, 2016",Detroit Pistons,108,Orlando Magic,104
"Wed, Apr 6, 2016",Brooklyn Nets,103,Washington Wizards,121
"Wed, Apr 6, 2016",New Orleans Pelicans,97,Boston Celtics,104
"Wed, Apr 6, 2016",Charlotte Hornets,111,New York Knicks,97
"Wed, Apr 6, 2016",Houston Rockets,86,Dallas Mavericks,88
"Wed, Apr 6, 2016",Oklahoma City Thunder,115,Portland Trail Blazers,120
"Wed, Apr 6, 2016",Los Angeles Clippers,91,Los Angeles Lakers,81
"Thu, Apr 7, 2016",Toronto Raptors,87,Atlanta Hawks,95
"Thu, Apr 7, 2016",Phoenix Suns,124,Houston Rockets,115
"Thu, Apr 7, 2016",Chicago Bulls,98,Miami Heat,106
"Thu, Apr 7, 2016",Minnesota Timberwolves,105,Sacramento Kings,97
"Thu, Apr 7, 2016",San Antonio Spurs,101,Golden State Warriors,112
"Fri, Apr 8, 2016",Brooklyn Nets,99,Charlotte Hornets,113
"Fri, Apr 8, 2016",Miami Heat,109,Orlando Magic,112
"Fri, Apr 8, 2016",New York Knicks,109,Philadelphia 76ers,102
"Fri, Apr 8, 2016",Milwaukee Bucks,109,Boston Celtics,124
"Fri, Apr 8, 2016",Washington Wizards,99,Detroit Pistons,112
"Fri, Apr 8, 2016",Indiana Pacers,98,Toronto Raptors,111
"Fri, Apr 8, 2016",Los Angeles Lakers,102,New Orleans Pelicans,110
"Fri, Apr 8, 2016",Memphis Grizzlies,93,Dallas Mavericks,103
"Fri, Apr 8, 2016",San Antonio Spurs,98,Denver Nuggets,102
"Fri, Apr 8, 2016",Los Angeles Clippers,102,Utah Jazz,99
"Sat, Apr 9, 2016",Phoenix Suns,121,New Orleans Pelicans,100
"Sat, Apr 9, 2016",Boston Celtics,107,Atlanta Hawks,118
"Sat, Apr 9, 2016",Golden State Warriors,100,Memphis Grizzlies,99
"Sat, Apr 9, 2016",Cleveland Cavaliers,102,Chicago Bulls,105
"Sat, Apr 9, 2016",Minnesota Timberwolves,106,Portland Trail Blazers,105
"Sat, Apr 9, 2016",Oklahoma City Thunder,112,Sacramento Kings,114
"Sun, Apr 10, 2016",Charlotte Hornets,98,Washington Wizards,113
