date,away_team,away_points,home_team,home_points
"Fri, Jan 1, 2016",Orlando Magic,91,Washington Wizards,103
"Fri, Jan 1, 2016",Dallas Mavericks,82,Miami Heat,106
"Fri, Jan 1, 2016",Charlotte Hornets,94,Toronto Raptors,104
"Fri, Jan 1, 2016",New York Knicks,81,Chicago Bulls,108
"Fri, Jan 1, 2016",Philadelphia 76ers,84,Los Angeles Lakers,93
"Sat, Jan 2, 2016",Brooklyn Nets,100,Boston Celtics,97
"Sat, Jan 2, 2016",Phoenix Suns,119,Sacramento Kings,142
"Sat, Jan 2, 2016",Oklahoma City Thunder,109,Charlotte Hornets,90
"Sat, Jan 2, 2016",Detroit Pistons,82,Indiana Pacers,94
"Sat, Jan 2, 2016",Orlando Magic,79,Cleveland Cavaliers,104
"Sat, Jan 2, 2016",Milwaukee Bucks,95,Minnesota Timberwolves,85
"Sat, Jan 2, 2016",New Orleans Pelicans,105,Dallas Mavericks,98
"Sat, Jan 2, 2016",Houston Rockets,103,San Antonio Spurs,121
"Sat, Jan 2, 2016",Memphis Grizzlies,87,Utah Jazz,92
"Sat, Jan 2, 2016",Denver Nuggets,108,Golden State Warriors,111
"Sat, Jan 2, 2016",Philadelphia 76ers,99,Los Angeles Clippers,130
"Sun, Jan 3, 2016",Atlanta Hawks,97,New York Knicks,111
"Sun, Jan 3, 2016",Chicago Bulls,115,Toronto Raptors,113
"Sun, Jan 3, 2016",Miami Heat,97,Washington Wizards,75
"Sun, Jan 3, 2016",Portland Trail Blazers,112,Denver Nuggets,106
"Sun, Jan 3, 2016",Phoenix Suns,77,Los Angeles Lakers,97
"Mon, Jan 4, 2016",Toronto Raptors,100,Cleveland Cavaliers,122
"Mon, Jan 4, 2016",Minnesota Timberwolves,99,Philadelphia 76ers,109
"Mon, Jan 4, 2016",Boston Celtics,103,Brooklyn Nets,94
"Mon, Jan 4, 2016",Orlando Magic,89,Detroit Pistons,115
"Mon, Jan 4, 2016",Indiana Pacers,100,Miami Heat,103
"Mon, Jan 4, 2016",San Antonio Spurs,123,Milwaukee Bucks,98
"Mon, Jan 4, 2016",Sacramento Kings,116,Oklahoma City Thunder,104
"Mon, Jan 4, 2016",Houston Rockets,93,Utah Jazz,91
"Mon, Jan 4, 2016",Memphis Grizzlies,91,Portland Trail Blazers,78
"Mon, Jan 4, 2016",Charlotte Hornets,101,Golden State Warriors,111
"Tue, Jan 5, 2016",New York Knicks,107,Atlanta Hawks,101
"Tue, Jan 5, 2016",Milwaukee Bucks,106,Chicago Bulls,117
"Tue, Jan 5, 2016",Sacramento Kings,116,Dallas Mavericks,117
"Tue, Jan 5, 2016",Golden State Warriors,109,Los Angeles Lakers,88
"Wed, Jan 6, 2016",New York Knicks,98,Miami Heat,90
"Wed, Jan 6, 2016",Indiana Pacers,95,Orlando Magic,86
"Wed, Jan 6, 2016",Cleveland Cavaliers,121,Washington Wizards,115
"Wed, Jan 6, 2016",Detroit Pistons,99,Boston Celtics,94
"Wed, Jan 6, 2016",Toronto Raptors,91,Brooklyn Nets,74
"Wed, Jan 6, 2016",Denver Nuggets,78,Minnesota Timberwolves,74
"Wed, Jan 6, 2016",Dallas Mavericks,100,New Orleans Pelicans,91
