date,away_team,away_points,home_team,home_points
"Sun, May 1, 2016",Charlotte Hornets,73,Miami Heat,106
"Sun, May 1, 2016",Portland Trail Blazers,106,Golden State Warriors,118
"Sun, May 1, 2016",Indiana Pacers,84,Toronto Raptors,89
"Mon, May 2, 2016",Atlanta Hawks,93,Cleveland Cavaliers,104
"Mon, May 2, 2016",Oklahoma City Thunder,98,San Antonio Spurs,97
"Tue, May 3, 2016",Miami Heat,102,Toronto Raptors,96
"Tue, May 3, 2016",Portland Trail Blazers,99,Golden State Warriors,110
"Wed, May 4, 2016",Atlanta Hawks,98,Cleveland Cavaliers,123
"Thu, May 5, 2016",Miami Heat,92,Toronto Raptors,96
"Fri, May 6, 2016",Cleveland Cavaliers,121,Atlanta Hawks,108
"Fri, May 6, 2016",San Antonio Spurs,100,Oklahoma City Thunder,96
"Sat, May 7, 2016",Toronto Raptors,95,Miami Heat,91
"Sat, May 7, 2016",Golden State Warriors,108,Portland Trail Blazers,120
"Sun, May 8, 2016",Cleveland Cavaliers,100,Atlanta Hawks,99
"Sun, May 8, 2016",San Antonio Spurs,97,Oklahoma City Thunder,111
"Mon, May 9, 2016",Toronto Raptors,87,Miami Heat,94
"Mon, May 9, 2016",Golden State Warriors,132,Portland Trail Blazers,125
"Tue, May 10, 2016",Oklahoma City Thunder,95,San Antonio Spurs,91
"Wed, May 11, 2016",Miami Heat,91,Toronto Raptors,99
"Wed, May 11, 2016",Portland Trail Blazers,121,Golden State Warriors,125
"Thu, May 12, 2016",San Antonio Spurs,99,Oklahoma City Thunder,113
"Fri, May 13, 2016",Toronto Raptors,91,Miami Heat,103
"Sun, May 15, 2016",Miami Heat,89,Toronto Raptors,116
"Mon, May 16, 2016",Oklahoma City Thunder,108,Golden State Warriors,102
"Tue, May 17, 2016",Toronto Raptors,84,Cleveland Cavaliers,115
"Wed, May 18, 2016",Oklahoma City Thunder,91,Golden State Warriors,118
"Thu, May 19, 2016",Toronto Raptors,89,Cleveland Cavaliers,108
"Sat, May 21, 2016",Cleveland Cavaliers,84,Toronto Raptors,99
"Sun, May 22, 2016",Golden State Warriors,105,Oklahoma City Thunder,133
"Mon, May 23, 2016",Cleveland Cavaliers,99,Toronto Raptors,105
"Tue, May 24, 2016",Golden State Warriors,94,Oklahoma City Thunder,118
"Wed, May 25, 2016",Toronto Raptors,78,Cleveland Cavaliers,116
"Thu, May 26, 2016",Oklahoma City Thunder,111,Golden State Warriors,120
"Fri, May 27, 2016",Cleveland Cavaliers,113,Toronto Raptors,87
"Sat, May 28, 2016",Golden State Warriors,108,Oklahoma City Thunder,101
"Mon, May 30, 2016",Oklahoma City Thunder,88,Golden State Warriors,96
